机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
HKM,港珠澳大桥澳门口岸,港珠澳大桥澳门口岸,gangzhuaodaqiaoaomenkouan,中国澳门,MFM,中国澳门,中国澳门,非海关机场
XZM,澳门码头,澳门码头,Macao Ferry,中国澳门,MFM,中国澳门,中国澳门,非海关机场
RUH,哈立德国王国际机场,哈立德国王机场,King Khalid International Airport,利雅得,RUH,利雅得,沙特阿拉伯,机场
UPG,苏丹哈桑丁国际机场,苏丹哈桑丁机场,Sultan Hasanuddin International Airport,望加锡,UPG,南苏拉威西,印度尼西亚,机场
MOH,莫罗瓦利机场,莫罗瓦利机场,Morowali Airport,莫罗瓦利,MOH,中苏拉威西,印度尼西亚,机场
PUM,波马拉机场,波马拉机场,Pomalaa,科拉卡,KXB,东南苏拉威西,印度尼西亚,机场
KXB,桑吉亚尼班德拉机场,桑吉亚尼班德拉机场,Sangia Nibandera Airport,科拉卡,KXB,东南苏拉威西,印度尼西亚,机场
NST,那空是贪玛叻机场,那空是贪玛叻机场,Nakhon Si Thammarat Airport,那空是贪玛叻（洛坤）,NST,洛坤府,泰国,机场
CZV,常州汽车站,常州汽车站,CHANGZHOU BUS STATION,常州,CZX,江苏省,中国,非海关机场
LIS,里斯本机场,里斯本机场,Lisbon Airport,里斯本,LIS,葡京,葡萄牙,机场
GHS,西库泰梅拉兰机场,西库泰梅拉兰机场,Melalan Airport,西库台,GHS,东加里曼丹,印度尼西亚,机场
MTY,马里阿诺埃斯科贝多将军机场,马里阿诺埃斯科贝多将军机场,General Mariano Escobedo International Airport,蒙特雷,MTY,新莱昂,墨西哥,机场
KWQ,卡塞尔火车站,卡塞尔火车站,kasaierhuochezhan,卡塞尔,KSF,黑森,德国,非海关机场
ZQU,沃尔夫斯堡火车站,沃尔夫斯堡火车站,woerfusibaohuochezhan,沃尔夫斯堡,,图林根,德国,非海关机场
SIC,希诺普机场,希诺普机场,Shilop Airport,圣何塞,SIC,西巴拿马,巴拿马,机场
JIX,嘉兴汽车站,嘉兴汽车站,Jiaxing Bus,嘉兴,JXS,浙江省,中国,非海关机场
BKI,哥打京那巴鲁国际机场,哥打京那巴鲁机场,Kota Kinabalu International Airport,哥打京那巴鲁(沙巴),BKI,沙巴,马来西亚,机场
XIR,德累斯顿火车站,德累斯顿火车站,DRESDEN RAIL STATION,德累斯顿,DRS,萨克森,德国,非海关机场
CAN,白云国际机场,白云机场,Baiyun International Airport,广州,CAN,广东省,中国,机场
GHN,广汉机场,广汉机场,Guanghan Airport,广汉,GHN,四川省,中国,机场
RRJ,雅卡雷帕瓜机场,雅卡雷帕瓜机场,Jacarepagua,里约热内卢,RIO,里约热内卢,巴西,机场
IGU,福斯伊瓜苏国际机场,福斯伊瓜苏机场,Foz do IguaCu International Airport,伊瓜苏福尔斯,IGU,巴拉那,巴西,机场
IOS,豪尔赫阿马多机场,豪尔赫阿马多机场,Jorge Amado Airport,伊列乌斯,IOS,巴伊亚,巴西,机场
MDD,米德兰机场,米德兰机场,Midland Apt,米德兰,MAF,德克萨斯州,美国,机场
RSU,丽水机场,丽水机场,Yeosu Airport,丽水,RSU,全罗南道,韩国,机场
RMZ,列梅佐夫机场,列梅佐夫机场,Remezov Airport,托博尔斯克,TOX,秋明,俄罗斯,机场
LIJ,丽水机场,丽水机场,Lishui Airport,丽水,LIJ,浙江省,中国,机场
LBD,苦盏机场,苦盏机场,Khujand Airport,苦盏,LBD,索格特州,塔吉克斯坦,机场
LXG,琅南塔机场,琅南塔机场,Luang Namtha Airport,琅纳姆塔,LXG,琅南塔,老挝,机场
MAA,晨奈国际机场,晨奈国际机场,Chennai International Airport,金奈,MAA,泰米尔纳德,印度,机场
MHD,马什哈德机场,马什哈德机场,Mashhad Airport,马什哈德,MHD,呼罗珊,伊朗,机场
QPP,柏林中央车站 ,柏林中央车站,bolinzhongyangchezhan ,柏林,BER,柏林,德国,非海关机场
HME,欧埃德伊拉拉机场,欧埃德伊拉拉机场,Oued Irara Airport,哈西梅扫德,HME,瓦尔格拉,阿尔及利亚,机场
CZL,穆罕默德布迪亚夫机场,穆罕默德布迪亚夫机场,Mohamed Boudiaf Airport,君士坦丁,CZL,君士坦丁,阿尔及利亚,机场
JBK,江布拉克机场,江布拉克机场,Jiangbulake Airport,奇台,JBK,新疆维吾尔自治区,中国,机场
XSP,实里达机场,实里达机场,Singapore Seletar Apt,新加坡,SIN,新加坡,新加坡,机场
COV,库库罗瓦机场,库库罗瓦,Cukurova Airport,梅尔辛,COV,梅尔辛,土耳其,机场
